performance_country,composer,composer_nationality,gender,work,performances
Uzbekistan,Abdullaev,Uzbekistan,m,Sadokat,8
Uzbekistan,Abdullaev,Uzbekistan,m,Sadokat,1
Uzbekistan,Abdullaev,Uzbekistan,m,Sadokat,3
France,Aboulker,France,f,Idriss,2
France,Aboulker,France,f,Jeremy Fischer,4
Austria,Abraham,Hungary,m,Die Blume von Hawaii,13
Austria,Abraham,Hungary,m,Viktoria und ihr Husar,21
Estonia,Abraham,Hungary,m,Ball im Savoy,15
Estonia,Abraham,Hungary,m,Ball im Savoy,16
Estonia,Abraham,Hungary,m,Ball im Savoy,1
Estonia,Abraham,Hungary,m,Ball im Savoy,10
Estonia,Abraham,Hungary,m,Ball im Savoy,5
Estonia,Abraham,Hungary,m,Ball im Savoy,10
Estonia,Abraham,Hungary,m,Ball im Savoy,1
Germany,Abraham,Hungary,m,Ball im Savoy,8
Germany,Abraham,Hungary,m,Ball im Savoy,5
Germany,Abraham,Hungary,m,Ball im Savoy,2
Germany,Abraham,Hungary,m,Ball im Savoy,6
Germany,Abraham,Hungary,m,Ball im Savoy,2
Germany,Abraham,Hungary,m,Ball im Savoy,1
Germany,Abraham,Hungary,m,Ball im Savoy,2
Germany,Abraham,Hungary,m,Ball im Savoy,2
Germany,Abraham,Hungary,m,Ball im Savoy,12
Germany,Abraham,Hungary,m,Ball im Savoy,16
Germany,Abraham,Hungary,m,Ball im Savoy,5
Germany,Abraham,Hungary,m,Ball im Savoy,7
Germany,Abraham,Hungary,m,Ball im Savoy,17
Germany,Abraham,Hungary,m,Ball im Savoy,6
Germany,Abraham,Hungary,m,Ball im Savoy,3
Germany,Abraham,Hungary,m,Ball im Savoy,8
Germany,Abraham,Hungary,m,Ball im Savoy,15
Germany,Abraham,Hungary,m,Die Blume von Hawaii,5
Germany,Abraham,Hungary,m,Die Blume von Hawaii,5
Germany,Abraham,Hungary,m,Die Blume von Hawaii,10
Germany,Abraham,Hungary,m,Die Blume von Hawaii,12
Germany,Abraham,Hungary,m,Die Blume von Hawaii,4
Germany,Abraham,Hungary,m,Roxy und ihr Wunderteam,14
Germany,Abraham,Hungary,m,Roxy und ihr Wunderteam,16
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,6
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,6
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,4
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,7
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,3
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,1
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,2
Germany,Abraham,Hungary,m,Viktoria und ihr Husar,6
Hungary,Abraham,Hungary,m,Ball im Savoy,14
Hungary,Abraham,Hungary,m,Viktoria und ihr Husar,26
Hungary,Abraham,Hungary,m,Viktoria und ihr Husar,14
Hungary,Abraham,Hungary,m,Viktoria und ihr Husar,18
Hungary,Abraham,Hungary,m,Viktoria und ihr Husar,3
Lithuania,Abraham,Hungary,m,Ball im Savoy,3
Lithuania,Abraham,Hungary,m,Ball im Savoy,3
Lithuania,Abraham,Hungary,m,Ball im Savoy,19
Lithuania,Abraham,Hungary,m,Ball im Savoy,2
Lithuania,Abraham,Hungary,m,Ball im Savoy,7
Lithuania,Abraham,Hungary,m,Ball im Savoy,7
Lithuania,Abraham,Hungary,m,Ball im Savoy,1
Lithuania,Abraham,Hungary,m,Ball im Savoy,5
Romania,Abraham,Hungary,m,Ball im Savoy,1
Romania,Abraham,Hungary,m,Ball im Savoy,1
Russia,Abraham,Hungary,m,Ball im Savoy,4
Russia,Abraham,Hungary,m,Ball im Savoy,4
Russia,Abraham,Hungary,m,Ball im Savoy,4
Russia,Abraham,Hungary,m,Ball im Savoy,4
Russia,Abraham,Hungary,m,Ball im Savoy,1
Russia,Abraham,Hungary,m,Ball im Savoy,2
Russia,Abraham,Hungary,m,Ball im Savoy,1
Russia,Abraham,Hungary,m,Ball im Savoy,1
Switzerland,Abraham,Hungary,m,Die Blume von Hawaii,17
Czech Republic,Acher,Czech Republic,m,Sternenhoch,4
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,8
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,3
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,4
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,13
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,5
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,1
Turkey,Ada,Turkey,m,Ali Baba and the Forty Thieves,3
Turkey,Ada,Turkey,m,Another World,9
Turkey,Ada,Turkey,m,Another World,4
Turkey,Ada,Turkey,m,Ask-i Memnu,4
Turkey,Ada,Turkey,m,Ask-i Memnu,3
Bulgaria,"Adam,A",France,m,Le Postillon de Lonjumeau,1
France,"Adam,A",France,m,Le Chalet,1
France,"Adam,A",France,m,Le Toreador,2
Germany,"Adam,A",France,m,Le Chalet,2
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,1
Germany,"Adam,A",France,m,Le Toreador,4
Italy,"Adam,A",France,m,Le Toreador,7
France,Adamek,Czech Republic,m,Seven Stones,6
United States,Adamo,United States,m,Avow,3
